Key	Latitude	Longitude	Population	TZ
Gjinaj, Albania	42.118060	20.435830	0	Europe/Tirane
Gjergjan, Albania	41.043060	20.029720	0	Europe/Tirane
Gjegjan, Albania	41.937780	20.011110	0	Europe/Tirane
Fushe-Muhurr, Albania	41.679720	20.331390	0	Europe/Tirane
Fushe-Lure, Albania	41.806110	20.231940	0	Europe/Tirane
Fushe-Cidhne, Albania	41.760560	20.341110	0	Europe/Tirane
Fushe-Bulqize, Albania	41.521940	20.282220	0	Europe/Tirane
Fushe-Arrez, Albania	42.062220	20.016670	2438	Europe/Tirane
Frasher, Albania	40.368890	20.424440	0	Europe/Tirane
Fierze, Albania	42.260560	20.016940	0	Europe/Tirane
Fajze, Albania	42.166940	20.350830	0	Europe/Tirane
Erseke, Albania	40.337780	20.678890	7890	Europe/Tirane
Elbasan, Albania	41.112500	20.082220	100903	Europe/Tirane
Drenove, Albania	40.583330	20.792220	0	Europe/Tirane
Dishnice, Albania	40.651390	20.813610	0	Europe/Tirane
Dervician, Albania	40.032500	20.173330	0	Europe/Tirane
Derjan, Albania	41.673610	20.058330	0	Europe/Tirane
Gjerbes, Albania	40.629170	20.251110	0	Europe/Tirane
Corovode, Albania	40.504170	20.227220	14046	Europe/Tirane
Clirim, Albania	40.417500	20.550280	0	Europe/Tirane
Cerava, Albania	40.851390	20.725000	0	Europe/Tirane
Cepan, Albania	40.420560	20.260560	0	Europe/Tirane
Carshove, Albania	40.118060	20.540830	0	Europe/Tirane
Kokaj, Albania	41.878330	20.504720	0	Europe/Tirane
Buz, Albania	40.445000	20.004720	0	Europe/Tirane
Bushtrice, Albania	41.878610	20.421940	0	Europe/Tirane
Burrel, Albania	41.610280	20.008890	15405	Europe/Tirane
Bulqize, Albania	41.491670	20.221940	11212	Europe/Tirane
Bujan, Albania	42.326390	20.076390	0	Europe/Tirane
Bradashesh, Albania	41.105000	20.022500	0	Europe/Tirane
Blinisht, Albania	41.861390	20.000000	0	Europe/Tirane
Blerim, Albania	42.160560	20.191940	0	Europe/Tirane
Bilisht, Albania	40.627500	20.990000	7114	Europe/Tirane
Bicaj, Albania	41.994720	20.412500	0	Europe/Tirane
Dardhas, Albania	40.845830	20.657220	0	Europe/Tirane
Barmash, Albania	40.277780	20.618330	0	Europe/Tirane
Ballaban, Albania	40.416670	20.134440	0	Europe/Tirane
Arren, Albania	41.913060	20.288330	0	Europe/Tirane
Arras, Albania	41.735830	20.324170	0	Europe/Tirane
Fierze, Albania	42.264720	20.026940	742	Europe/Tirane
Bytyc, Albania	42.310000	20.202780	0	Europe/Tirane
Librazhd-Qender, Albania	41.196940	20.335560	12691	Europe/Tirane
Funare, Albania	41.196390	20.059720	0	Europe/Tirane
Moglice, Albania	40.718060	20.438060	0	Europe/Tirane
Bogove, Albania	40.571110	20.150000	0	Europe/Tirane
Piskove, Albania	40.279170	20.272500	0	Europe/Tirane
Lukove, Albania	39.992220	19.913890	0	Europe/Tirane
Zharrez, Albania	40.709170	19.649720	0	Europe/Tirane
Zejmen, Albania	41.707780	19.689170	0	Europe/Tirane
Zall-Herr, Albania	41.389440	19.827500	0	Europe/Tirane
Zall-Bastar, Albania	41.429720	19.930280	0	Europe/Tirane
Xhafzotaj, Albania	41.344440	19.547500	0	Europe/Tirane
Vukatane, Albania	42.028060	19.547780	1113	Europe/Tirane
Vranisht, Albania	40.209720	19.690830	0	Europe/Tirane
Vore, Albania	41.390830	19.655000	4973	Europe/Tirane
Vlore, Albania	40.466670	19.489720	89546	Europe/Tirane
Velipoje, Albania	41.878330	19.405560	0	Europe/Tirane
Velabisht, Albania	40.701670	19.932220	0	Europe/Tirane
Vaqarr, Albania	41.299170	19.744170	0	Europe/Tirane
Ura Vajgurore, Albania	40.768890	19.877780	4893	Europe/Tirane
Ungrej, Albania	41.875280	19.794720	0	Europe/Tirane
Ulez, Albania	41.682780	19.893330	4	Europe/Tirane
Topoje, Albania	40.763060	19.432780	0	Europe/Tirane
Tirana, Albania	41.327500	19.818890	374801	Europe/Tirane
Thumane, Albania	41.547500	19.677780	0	Europe/Tirane
Terbuf, Albania	41.040000	19.614170	0	Europe/Tirane
Synej, Albania	41.180000	19.542500	0	Europe/Tirane
Sukth, Albania	41.380560	19.537780	0	Europe/Tirane
Strum, Albania	40.751110	19.737500	0	Europe/Tirane
Sinje, Albania	40.648060	19.868060	0	Europe/Tirane
Sinaballaj, Albania	41.068890	19.699440	0	Europe/Tirane
Shkoder, Albania	42.068280	19.512580	88245	Europe/Tirane
Shijak, Albania	41.345560	19.567220	14138	Europe/Tirane
Sheze, Albania	41.024170	19.816110	0	Europe/Tirane
Shenkoll, Albania	41.690830	19.653330	0	Europe/Tirane
Shengjin, Albania	41.813610	19.593890	2698	Europe/Tirane
Shengjergj, Albania	41.183330	19.533330	0	Europe/Tirane
Shales, Albania	40.998610	19.947780	0	Europe/Tirane
Nicaj-Shale, Albania	42.299440	19.805000	0	Europe/Tirane
Sevaster, Albania	40.396390	19.729720	0	Europe/Tirane
Selite, Albania	41.635280	19.755000	0	Europe/Tirane
Valbone, Albania	42.451390	19.891670	0	Europe/Tirane
Selenice, Albania	40.530560	19.635830	6912	Europe/Tirane
Ruzhdie, Albania	40.670830	19.698330	0	Europe/Tirane
Rubik, Albania	41.774440	19.786110	2332	Europe/Tirane
Rrogozhine, Albania	41.076390	19.665280	5620	Europe/Tirane
Rreshen, Albania	41.767500	19.875560	10064	Europe/Tirane
Rrashbull, Albania	41.322780	19.510280	0	Europe/Tirane
Rrasa e Siperme, Albania	40.967780	19.821110	0	Europe/Tirane
Rrape, Albania	42.044440	19.970560	0	Europe/Tirane
Roskovec, Albania	40.737500	19.702220	6657	Europe/Tirane
Remas, Albania	40.886390	19.511390	0	Europe/Tirane
Qerret, Albania	42.053060	19.837220	0	Europe/Tirane
Qelez, Albania	42.089720	19.895000	0	Europe/Tirane
Puke, Albania	42.044440	19.899720	6495	Europe/Tirane
Progonat, Albania	40.213330	19.944720	0	Europe/Tirane
Preze, Albania	41.427220	19.672780	0	Europe/Tirane
Poshnje, Albania	40.780280	19.844170	0	Europe/Tirane
Portez, Albania	40.699170	19.574440	0	Europe/Tirane
Peza e Madhe, Albania	41.217500	19.696110	0	Europe/Tirane
Petrele, Albania	41.253060	19.853060	0	Europe/Tirane
Perparim, Albania	41.050000	19.799170	0	Europe/Tirane
Perondi, Albania	40.778890	19.923060	0	Europe/Tirane
Peqin, Albania	41.046110	19.751110	7513	Europe/Tirane
Patos Fshat, Albania	40.642780	19.650830	22679	Europe/Tirane
Patos, Albania	40.683330	19.619440	0	Europe/Tirane
Paskuqan, Albania	41.353890	19.806670	0	Europe/Tirane
Paper, Albania	41.051670	19.960830	0	Europe/Tirane
Pajove, Albania	41.054720	19.837500	0	Europe/Tirane
Otllak, Albania	40.743890	19.935280	0	Europe/Tirane
Orikum, Albania	40.325280	19.471390	2604	Europe/Tirane
Novosele, Albania	40.625000	19.466940	0	Europe/Tirane
Nikel, Albania	41.444170	19.748330	0	Europe/Tirane
Nicaj-Shosh, Albania	42.244440	19.758060	0	Europe/Tirane
Ngracan, Albania	40.644440	19.792500	0	Europe/Tirane
Ndroq, Albania	41.263890	19.655830	0	Europe/Tirane
Milot, Albania	41.683890	19.715560	2157	Europe/Tirane
Memaliaj, Albania	40.351670	19.980280	4951	Europe/Tirane
Mbrostar-Ure, Albania	40.753610	19.579440	0	Europe/Tirane
Manze, Albania	41.428610	19.593060	0	Europe/Tirane
Mamurras, Albania	41.577500	19.692220	8282	Europe/Tirane
Maminas, Albania	41.379170	19.607500	0	Europe/Tirane
Luzi i Vogel, Albania	41.127500	19.573890	0	Europe/Tirane
Lushnje, Albania	40.941940	19.705000	41469	Europe/Tirane
Luftinje, Albania	40.442780	19.954440	0	Europe/Tirane
Libofshe, Albania	40.834440	19.552220	0	Europe/Tirane
Lezhe, Albania	41.783610	19.643610	18695	Europe/Tirane
Levan, Albania	40.676110	19.489720	0	Europe/Tirane
Lekbibaj, Albania	42.294720	19.931670	0	Europe/Tirane
Lekaj, Albania	41.114440	19.609720	0	Europe/Tirane
Lac, Albania	41.635560	19.713060	24825	Europe/Tirane
Kute, Albania	40.473330	19.766390	0	Europe/Tirane
Kutalli, Albania	40.783890	19.786670	0	Europe/Tirane
Kurjan, Albania	40.717500	19.745560	0	Europe/Tirane
Kuman, Albania	40.726670	19.686670	0	Europe/Tirane
Kucove, Albania	40.800280	19.916670	18166	Europe/Tirane
Kuc, Albania	42.039720	19.525280	0	Europe/Tirane
Kryevidh, Albania	41.100560	19.527500	0	Europe/Tirane
Krutja e Poshtme, Albania	40.871940	19.680830	0	Europe/Tirane
Kruje, Albania	41.509170	19.792780	21286	Europe/Tirane
Krrabe, Albania	41.215560	19.971390	1177	Europe/Tirane
Krahes, Albania	40.438610	19.844440	0	Europe/Tirane
Kozare, Albania	40.830830	19.900560	0	Europe/Tirane
Kote, Albania	40.389440	19.602220	0	Europe/Tirane
Koplik, Albania	42.213610	19.436390	4078	Europe/Tirane
Kombesi, Albania	41.581670	19.985560	0	Europe/Tirane
Kolonje, Albania	40.824170	19.603890	0	Europe/Tirane
Kolc, Albania	41.786670	19.676110	0	Europe/Tirane
Kavaje, Albania	41.185560	19.556940	29354	Europe/Tirane
Katundi i Ri, Albania	41.403060	19.518060	0	Europe/Tirane
Kastrat, Albania	42.352500	19.489170	0	Europe/Tirane
Kashar, Albania	41.349720	19.710280	0	Europe/Tirane
Karine, Albania	41.063060	19.716110	0	Europe/Tirane
Karbunara e Vogel, Albania	40.921940	19.717780	0	Europe/Tirane
Kamez, Albania	41.381670	19.760280	11026	Europe/Tirane
Kallmeti i Madh, Albania	41.848890	19.686940	0	Europe/Tirane
Kallmet, Albania	41.418060	19.821390	0	Europe/Tirane
Kalenje, Albania	40.590000	19.778330	0	Europe/Tirane
Kajan, Albania	40.914170	19.889440	0	Europe/Tirane
Kacinar, Albania	41.893330	19.898610	0	Europe/Tirane
Ishem, Albania	41.545280	19.600000	0	Europe/Tirane
Hysgjokaj, Albania	40.971670	19.789720	0	Europe/Tirane
Hot, Albania	42.361940	19.444170	0	Europe/Tirane
Himare, Albania	40.101670	19.744720	4596	Europe/Tirane
Helmas, Albania	41.180280	19.606940	0	Europe/Tirane
Hekal, Albania	40.561940	19.735830	0	Europe/Tirane
Hasan, Albania	41.482780	19.699720	0	Europe/Tirane
Hajmel, Albania	41.953060	19.637780	0	Europe/Tirane
Gurra e Vogel, Albania	41.536110	19.990830	0	Europe/Tirane
Guri i Zi, Albania	42.045000	19.574720	0	Europe/Tirane
Gruemire, Albania	42.159170	19.518890	0	Europe/Tirane
Greshice, Albania	40.551940	19.778330	0	Europe/Tirane
Grekan, Albania	40.929440	19.947500	0	Europe/Tirane
Gradishte, Albania	40.888060	19.585830	0	Europe/Tirane
Gracen, Albania	41.151940	19.963610	0	Europe/Tirane
Grabjan, Albania	40.953060	19.580830	0	Europe/Tirane
Gose e Madhe, Albania	41.090560	19.624720	0	Europe/Tirane
Golem, Albania	40.967780	19.685280	0	Europe/Tirane
Gjocaj, Albania	41.025560	19.723890	0	Europe/Tirane
Gjepalaj, Albania	41.333060	19.578060	0	Europe/Tirane
Fushekuqe, Albania	41.650280	19.620000	0	Europe/Tirane
Fushe-Kruje, Albania	41.478330	19.717780	10458	Europe/Tirane
Fratar, Albania	40.500000	19.816670	0	Europe/Tirane
Frakulla e Madhe, Albania	40.655830	19.502500	0	Europe/Tirane
Fier-Shegan, Albania	40.867220	19.785280	0	Europe/Tirane
Fier-Cifci, Albania	40.716670	19.566670	60995	Europe/Tirane
Fier, Albania	40.723890	19.556110	56297	Europe/Tirane
Farka e Madhe, Albania	41.305560	19.866940	0	Europe/Tirane
Durres, Albania	41.323060	19.441390	122034	Europe/Tirane
Drenove, Albania	40.600560	19.700830	0	Europe/Tirane
Divjake, Albania	40.996670	19.529440	0	Europe/Tirane
Dermenas, Albania	40.745560	19.493890	0	Europe/Tirane
Vau i Dejes, Albania	42.010000	19.624720	0	Europe/Tirane
Dajt, Albania	41.393610	19.915830	0	Europe/Tirane
Dajc, Albania	41.991670	19.410560	0	Europe/Tirane
Dajc, Albania	41.915560	19.604440	0	Europe/Tirane
Cukalat, Albania	40.730280	19.790560	0	Europe/Tirane
Cudhi Zall, Albania	41.509440	19.845830	0	Europe/Tirane
Cerrik, Albania	41.031670	19.975830	14269	Europe/Tirane
Cakran, Albania	40.603330	19.626110	0	Europe/Tirane
Bushat, Albania	42.119440	19.899720	0	Europe/Tirane
Bubullime, Albania	40.818060	19.640830	0	Europe/Tirane
Bubq, Albania	41.474170	19.651670	0	Europe/Tirane
Brataj, Albania	40.267780	19.669170	0	Europe/Tirane
Berzhite, Albania	41.245280	19.901110	0	Europe/Tirane
Berxull, Albania	41.380000	19.687500	0	Europe/Tirane
Berdica e Madhe, Albania	42.015280	19.481670	0	Europe/Tirane
Berat, Albania	40.705830	19.952220	46866	Europe/Tirane
Belsh, Albania	40.975000	19.881940	0	Europe/Tirane
Baz, Albania	41.631940	19.929170	0	Europe/Tirane
Banaj, Albania	40.824720	19.839170	2500	Europe/Tirane
Ballsh, Albania	40.598890	19.734720	10361	Europe/Tirane
Ballagat, Albania	40.995280	19.765280	0	Europe/Tirane
Baldushk, Albania	41.213890	19.796940	0	Europe/Tirane
Armen, Albania	40.536390	19.596110	0	Europe/Tirane
Aranitas, Albania	40.594440	19.806670	0	Europe/Tirane
Allkaj, Albania	40.857500	19.755280	0	Europe/Tirane
Golem, Albania	41.245830	19.534720	0	Europe/Tirane
Balldreni i Ri, Albania	41.819170	19.640280	0	Europe/Tirane
Grude-Fushe, Albania	42.162220	19.496670	0	Europe/Tirane
Fierze, Albania	40.920560	19.846940	0	Europe/Tirane
Dushk, Albania	40.726670	19.757220	0	Europe/Tirane
Selite, Albania	40.547500	19.848060	0	Europe/Tirane
Vllahine, Albania	40.456940	19.643610	0	Europe/Tirane
Bajram Curri, Albania	42.357340	20.076790	0	Europe/Tirane
Neu-Guntramsdorf, Austria	48.064200	16.315730	9071	Europe/Vienna
Kleinarl, Austria	47.277250	13.319550	0	Europe/Vienna
Edelstauden, Austria	46.983330	15.616670	0	Europe/Vienna
Neuhaus am Klausenbach, Austria	46.866670	16.033330	0	Europe/Vienna
Millstatt, Austria	46.804170	13.580560	0	Europe/Vienna
Zwolfaxing, Austria	48.109900	16.462670	0	Europe/Vienna
Zwettl Stift, Austria	48.616670	15.200000	11718	Europe/Vienna
Zwettl an der Rodl, Austria	48.465520	14.271330	0	Europe/Vienna
Zurndorf, Austria	47.983140	17.003150	0	Europe/Vienna
Zoblen, Austria	47.500000	10.483330	0	Europe/Vienna
Zobern, Austria	47.500000	16.116670	0	Europe/Vienna
Zistersdorf, Austria	48.533330	16.750000	5661	Europe/Vienna
Zirl, Austria	47.283330	11.233330	6567	Europe/Vienna
Zillingtal, Austria	47.814420	16.409280	0	Europe/Vienna
Zillingdorf, Austria	47.850000	16.333330	0	Europe/Vienna
Ziersdorf, Austria	48.516670	15.916670	0	Europe/Vienna
Zeutschach, Austria	47.066670	14.366670	0	Europe/Vienna
Zettling, Austria	46.950000	15.416670	0	Europe/Vienna
Zerlach, Austria	46.933330	15.650000	0	Europe/Vienna
Zeltweg, Austria	47.183330	14.750000	7726	Europe/Vienna
Zellerndorf, Austria	48.683330	15.950000	0	Europe/Vienna
Zellberg, Austria	47.233330	11.850000	0	Europe/Vienna
Zell am Ziller, Austria	47.233330	11.883330	0	Europe/Vienna
Zell am See, Austria	47.325560	12.794440	10046	Europe/Vienna
Zell am Pettenfirst, Austria	48.066670	13.583330	0	Europe/Vienna
Zell am Moos, Austria	47.900000	13.316670	0	Europe/Vienna
Zeillern, Austria	48.116670	14.800000	0	Europe/Vienna
Zederhaus, Austria	47.150000	13.500000	0	Europe/Vienna
Zams, Austria	47.158440	10.589700	0	Europe/Vienna
Zagersdorf, Austria	47.764710	16.513820	0	Europe/Vienna
Ybbsitz, Austria	47.933330	14.883330	0	Europe/Vienna
Ybbs an der Donau, Austria	48.166670	15.083330	5676	Europe/Vienna
Wurmla, Austria	48.254970	15.860310	0	Europe/Vienna
Wurflach, Austria	47.776480	16.054630	0	Europe/Vienna
Wundschuh, Austria	46.926390	15.451110	0	Europe/Vienna
Wullersdorf, Austria	48.616670	16.100000	0	Europe/Vienna
Wulkaprodersdorf, Austria	47.797530	16.504470	0	Europe/Vienna
Worth an der Lafnitz, Austria	47.200000	16.066670	0	Europe/Vienna
Worterberg, Austria	47.216670	16.100000	0	Europe/Vienna
Worschach, Austria	47.550000	14.150000	0	Europe/Vienna
Worgl, Austria	47.483330	12.066670	11265	Europe/Vienna
Wordern, Austria	48.334000	16.210160	6886	Europe/Vienna
Wolkersdorf im Weinviertel, Austria	48.383330	16.516670	6416	Europe/Vienna
Wolfurt, Austria	47.466670	9.750000	8110	Europe/Vienna
Wolfsthal, Austria	48.133330	17.000000	0	Europe/Vienna
Wolfsgraben, Austria	48.158700	16.120980	0	Europe/Vienna
Wolfsegg am Hausruck, Austria	48.106690	13.672740	0	Europe/Vienna
Wolfsberg im Schwarzautal, Austria	46.843890	15.658890	0	Europe/Vienna
Wolfsberg, Austria	46.840560	14.844170	25610	Europe/Vienna
Wolfsbach, Austria	48.066670	14.666670	0	Europe/Vienna
Wolfpassing, Austria	48.066670	15.050000	0	Europe/Vienna
Wolfau, Austria	47.250000	16.100000	0	Europe/Vienna
Winklern bei Oberwolz, Austria	47.200000	14.233330	0	Europe/Vienna
Winklern, Austria	46.873610	12.874720	0	Europe/Vienna
Winklarn, Austria	48.083330	14.833330	0	Europe/Vienna
Windigsteig, Austria	48.766670	15.283330	0	Europe/Vienna
Winden am See, Austria	47.950000	16.750000	0	Europe/Vienna
Wimpassing an der Leitha, Austria	47.916670	16.433330	0	Europe/Vienna
Wimpassing im Schwarzatale, Austria	47.702950	16.033340	0	Europe/Vienna
Willendorf am Steinfelde, Austria	47.789290	16.056860	0	Europe/Vienna
Wilhelmsburg, Austria	48.105710	15.605390	6718	Europe/Vienna
Wilfersdorf, Austria	48.583330	16.633330	0	Europe/Vienna
Wildon, Austria	46.883330	15.516670	0	Europe/Vienna
Wildermieming, Austria	47.316670	11.016670	0	Europe/Vienna
Wildalpen, Austria	47.650000	14.983330	0	Europe/Vienna
Wiesmath, Austria	47.616670	16.283330	0	Europe/Vienna
Wiesing, Austria	47.404860	11.797080	0	Europe/Vienna
Wiesfleck, Austria	47.383330	16.133330	0	Europe/Vienna
Wiesen, Austria	47.737760	16.337980	0	Europe/Vienna
Wieselburg, Austria	48.133330	15.133330	0	Europe/Vienna
Wies, Austria	46.720280	15.271940	0	Europe/Vienna
Wiener Neustadt, Austria	47.800000	16.250000	38481	Europe/Vienna
Wiener Neudorf, Austria	48.082780	16.313840	8530	Europe/Vienna
Vienna, Austria	48.208490	16.372080	1691468	Europe/Vienna
Weyer, Austria	47.857170	14.664090	0	Europe/Vienna
Wetzelsdorf, Austria	47.052930	15.399230	14314	Europe/Vienna
